clade_name	last_taxon_clean	k	p	c	o	f	g	s	mean_abund_neg	mean_abund_pos	median_abund_neg	median_abund_pos	prevalence_neg	prevalence_pos
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_SGB17002|t__SGB17002	Corynebacterium_SGB17002	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_SGB17002	0.28052000555555556	0.14965470952380952	0.13804795	0.1185134	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_SGB17003	Corynebacterium_SGB17003	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_SGB17003	NA	0.0016704	NA	0.0016704	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_SGB17003|t__SGB17003	Corynebacterium_SGB17003	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_SGB17003	NA	0.0016704	NA	0.0016704	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_SGB17107	Corynebacterium_SGB17107	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_SGB17107	0.0189235	NA	0.0189235	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_SGB17107|t__SGB17107	Corynebacterium_SGB17107	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_SGB17107	0.0189235	NA	0.0189235	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_SGB86802	Corynebacterium_SGB86802	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_SGB86802	0.0014439	NA	0.0014439	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_SGB86802|t__SGB86802	Corynebacterium_SGB86802	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_SGB86802	0.0014439	NA	0.0014439	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_accolens	Corynebacterium_accolens	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_accolens	6.248e-4	0.0016243	6.248e-4	0.0016243	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_accolens|t__SGB17097	Corynebacterium_accolens	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_accolens	6.248e-4	0.0016243	6.248e-4	0.0016243	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_coyleae	Corynebacterium_coyleae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_coyleae	NA	0.001241	NA	0.001241	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_coyleae|t__SGB17061	Corynebacterium_coyleae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_coyleae	NA	0.001241	NA	0.001241	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_evansiae	Corynebacterium_evansiae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_evansiae	NA	0.0655541	NA	0.0655541	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_evansiae|t__SGB17045	Corynebacterium_evansiae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_evansiae	NA	0.0655541	NA	0.0655541	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_faecium	Corynebacterium_faecium	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_faecium	NA	0.007019	NA	0.007019	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_faecium|t__SGB86804	Corynebacterium_faecium	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_faecium	NA	0.007019	NA	0.007019	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_hadale	Corynebacterium_hadale	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_hadale	0.0035861	0.0043438	0.0035861	0.0043438	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_hadale|t__SGB17059	Corynebacterium_hadale	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_hadale	0.0035861	0.0043438	0.0035861	0.0043438	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_imitans	Corynebacterium_imitans	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_imitans	NA	0.0154972	NA	0.0154972	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_imitans|t__SGB207816	Corynebacterium_imitans	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_imitans	NA	0.0154972	NA	0.0154972	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_kefirresidentii	Corynebacterium_kefirresidentii	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_kefirresidentii	0.0018912	2.313e-4	0.0018912	2.313e-4	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_kefirresidentii|t__SGB17100	Corynebacterium_kefirresidentii	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_kefirresidentii	0.0018912	2.313e-4	0.0018912	2.313e-4	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_minutissimum	Corynebacterium_minutissimum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_minutissimum	NA	0.0154139	NA	0.0154139	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_minutissimum|t__SGB103704	Corynebacterium_minutissimum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_minutissimum	NA	0.0154139	NA	0.0154139	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_otitidis	Corynebacterium_otitidis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_otitidis	0.0064632000000000005	0.006134466666666667	0.0052803	0.0031441999999999998	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_otitidis|t__SGB17081	Corynebacterium_otitidis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_otitidis	0.0064632000000000005	0.006134466666666667	0.0052803	0.0031441999999999998	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_propinquum	Corynebacterium_propinquum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_propinquum	0.03460228	0.02272028	0.0258824	0.02039155	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_propinquum|t__SGB17012	Corynebacterium_propinquum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_propinquum	0.03460228	0.02272028	0.0258824	0.02039155	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_sanguinis	Corynebacterium_sanguinis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_sanguinis	0.0027531	NA	0.0027531	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_sanguinis|t__SGB86809	Corynebacterium_sanguinis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_sanguinis	0.0027531	NA	0.0027531	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_singulare	Corynebacterium_singulare	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_singulare	4.2205e-4	0.0065314	4.2205e-4	0.0065314	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_singulare|t__SGB17118	Corynebacterium_singulare	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_singulare	4.2205e-4	0.0065314	4.2205e-4	0.0065314	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_sp_MSK072	Corynebacterium_sp_MSK072	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_sp_MSK072	0.0109027	NA	0.0109027	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_sp_MSK072|t__SGB107535	Corynebacterium_sp_MSK072	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_sp_MSK072	0.0109027	NA	0.0109027	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_sp_SCR221107	Corynebacterium_sp_SCR221107	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_sp_SCR221107	0.0030492833333333334	0.0030328	5.7795e-4	0.0019437999999999999	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_sp_SCR221107|t__SGB152359	Corynebacterium_sp_SCR221107	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_sp_SCR221107	0.0030492833333333334	0.0030328	5.7795e-4	0.0019437999999999999	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_suicordis	Corynebacterium_suicordis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_suicordis	0.018102366666666665	0.0232661	0.0158121	0.0232661	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_suicordis|t__SGB86791	Corynebacterium_suicordis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_suicordis	0.018102366666666665	0.0232661	0.0158121	0.0232661	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_tuberculostearicum	0.037369150000000004	0.056698233333333334	0.037369150000000004	0.03923	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum|t__SGB17103_group	Corynebacterium_tuberculostearicum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_tuberculostearicum	0.037369150000000004	0.056698233333333334	0.037369150000000004	0.03923	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_urealyticum	Corynebacterium_urealyticum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_urealyticum	NA	0.0306311	NA	0.0306311	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_urealyticum|t__SGB17041_group	Corynebacterium_urealyticum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_urealyticum	NA	0.0306311	NA	0.0306311	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Lawsonellaceae	Lawsonellaceae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Lawsonellaceae	NA	NA	0.029626361538461536	0.0336244875	0.0092617	0.015134350000000001	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Lawsonellaceae|g__GGB2722	GGB2722	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Lawsonellaceae	g__GGB2722	NA	0.029626361538461536	0.0336244875	0.0092617	0.015134350000000001	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Lawsonellaceae|g__GGB2722|s__GGB2722_SGB3663	GGB2722_SGB3663	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Lawsonellaceae	g__GGB2722	s__GGB2722_SGB3663	0.029626361538461536	0.0336244875	0.0092617	0.015134350000000001	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Lawsonellaceae|g__GGB2722|s__GGB2722_SGB3663|t__SGB3663	GGB2722_SGB3663	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Lawsonellaceae	g__GGB2722	s__GGB2722_SGB3663	0.029626361538461536	0.0336244875	0.0092617	0.015134350000000001	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae	Mycobacteriaceae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Mycobacteriaceae	NA	NA	0.040485	0.0070628999999999996	0.040485	0.0070628999999999996	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__GGB48225	GGB48225	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Mycobacteriaceae	g__GGB48225	NA	NA	0.003193	NA	0.003193	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__GGB48225|s__GGB48225_SGB66232	GGB48225_SGB66232	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Mycobacteriaceae	g__GGB48225	s__GGB48225_SGB66232	NA	0.003193	NA	0.003193	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__GGB48225|s__GGB48225_SGB66232|t__SGB66232	GGB48225_SGB66232	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Mycobacteriaceae	g__GGB48225	s__GGB48225_SGB66232	NA	0.003193	NA	0.003193	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium	Mycobacterium	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	NA	0.040485	0.0109328	0.040485	0.0109328	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_gordonae	Mycobacterium_gordonae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium_gordonae	0.0327312	0.0109328	0.0327312	0.0109328	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_gordonae|t__SGB15578	Mycobacterium_gordonae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium_gordonae	0.0327312	0.0109328	0.0327312	0.0109328	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_paragordonae	Mycobacterium_paragordonae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium_paragordonae	0.0077538	NA	0.0077538	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_paragordonae|t__SGB15579	Mycobacterium_paragordonae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium_paragordonae	0.0077538	NA	0.0077538	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	Propionibacteriales	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	NA	NA	NA	0.7566875761904762	0.6922375766666666	0.5549892	0.61249265	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae	Propionibacteriaceae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	NA	NA	0.7566875761904762	0.6922375766666666	0.5549892	0.61249265	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	Cutibacterium	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	NA	0.7566875761904762	0.6922375766666666	0.5549892	0.61249265	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes	Cutibacterium_acnes	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium_acnes	0.7470881714285714	0.6844498666666666	0.5549892	0.5642334	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955	Cutibacterium_acnes	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium_acnes	0.7470881714285714	0.6844498666666666	0.5549892	0.5642334	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_granulosum	Cutibacterium_granulosum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium_granulosum	0.010393920000000001	0.0078045400000000004	0.0051398	0.0038525	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_granulosum|t__SGB16958	Cutibacterium_granulosum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium_granulosum	0.010393920000000001	0.0078045400000000004	0.0051398	0.0038525	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_modestum	Cutibacterium_modestum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium_modestum	0.0267949	0.004042	0.0267949	0.004042	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_modestum|t__SGB16954	Cutibacterium_modestum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium_modestum	0.0267949	0.004042	0.0267949	0.004042	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_namnetense	Cutibacterium_namnetense	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium_namnetense	0.0306324	0.0272238	0.03344875	0.0061178	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_namnetense|t__SGB16956	Cutibacterium_namnetense	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium_namnetense	0.0306324	0.0272238	0.03344875	0.0061178	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_porci	Cutibacterium_porci	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium_porci	1.4665000000000001e-4	NA	1.4665000000000001e-4	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_porci|t__SGB87725	Cutibacterium_porci	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium_porci	1.4665000000000001e-4	NA	1.4665000000000001e-4	NA	1	NA
k__Bacteria|p__Armatimonadota	Armatimonadota	k__Bacteria	p__Armatimonadota	NA	NA	NA	NA	NA	0.0115059	NA	0.0115059	NA	1	NA
k__Bacteria|p__Armatimonadota|c__CFGB2414	CFGB2414	k__Bacteria	p__Armatimonadota	c__CFGB2414	NA	NA	NA	NA	0.0115059	NA	0.0115059	NA	1	NA
k__Bacteria|p__Armatimonadota|c__CFGB2414|o__OFGB2414	OFGB2414	k__Bacteria	p__Armatimonadota	c__CFGB2414	o__OFGB2414	NA	NA	NA	0.0115059	NA	0.0115059	NA	1	NA
k__Bacteria|p__Armatimonadota|c__CFGB2414|o__OFGB2414|f__FGB2414	FGB2414	k__Bacteria	p__Armatimonadota	c__CFGB2414	o__OFGB2414	f__FGB2414	NA	NA	0.0115059	NA	0.0115059	NA	1	NA
k__Bacteria|p__Armatimonadota|c__CFGB2414|o__OFGB2414|f__FGB2414|g__GGB2413	GGB2413	k__Bacteria	p__Armatimonadota	c__CFGB2414	o__OFGB2414	f__FGB2414	g__GGB2413	NA	0.0115059	NA	0.0115059	NA	1	NA
k__Bacteria|p__Armatimonadota|c__CFGB2414|o__OFGB2414|f__FGB2414|g__GGB2413|s__GGB2413_SGB3303	GGB2413_SGB3303	k__Bacteria	p__Armatimonadota	c__CFGB2414	o__OFGB2414	f__FGB2414	g__GGB2413	s__GGB2413_SGB3303	0.0115059	NA	0.0115059	NA	1	NA
k__Bacteria|p__Armatimonadota|c__CFGB2414|o__OFGB2414|f__FGB2414|g__GGB2413|s__GGB2413_SGB3303|t__SGB3303	GGB2413_SGB3303	k__Bacteria	p__Armatimonadota	c__CFGB2414	o__OFGB2414	f__FGB2414	g__GGB2413	s__GGB2413_SGB3303	0.0115059	NA	0.0115059	NA	1	NA
