clade_name	last_taxon_clean	k	p	c	o	f	g	s	mean_abund_neg	mean_abund_pos	median_abund_neg	median_abund_pos	prevalence_neg	prevalence_pos
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sp_CS2	Brevibacterium_sp_CS2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium_sp_CS2	0.0038486	NA	0.0038486	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sp_CS2|t__SGB207777	Brevibacterium_sp_CS2	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium_sp_CS2	0.0038486	NA	0.0038486	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_yomogidense	Brevibacterium_yomogidense	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium_yomogidense	NA	0.0733605	NA	0.0733605	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_yomogidense|t__SGB16632	Brevibacterium_yomogidense	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium_yomogidense	NA	0.0733605	NA	0.0733605	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae	Dermabacteraceae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermabacteraceae	NA	NA	0.0263582	NA	0.0263582	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium	Brachybacterium	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium	NA	0.0263582	NA	0.0263582	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_nesterenkovii	Brachybacterium_nesterenkovii	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium	s__Brachybacterium_nesterenkovii	0.0263582	NA	0.0263582	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_nesterenkovii|t__SGB16658	Brachybacterium_nesterenkovii	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium	s__Brachybacterium_nesterenkovii	0.0263582	NA	0.0263582	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermacoccaceae	Dermacoccaceae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermacoccaceae	NA	NA	0.010093433333333334	0.00528075	0.0043768	0.00528075	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermacoccaceae|g__Dermacoccus	Dermacoccus	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermacoccaceae	g__Dermacoccus	NA	0.010093433333333334	0.00528075	0.0043768	0.00528075	1	1
