tb_group	mode	n_sample	classified_pct_median	classified_pct_mean	classified_pct_sd	unclassified_pct_median
neg	relaxed	21	8.584178696716199	8.361416877831052	1.8454590778534596	91.4158213032838
neg	strict	21	22.21921729730661	22.165245291020817	4.915703852027627	77.78078270269339
pos	relaxed	30	8.172848142086108	7.930730173628944	2.266153939338735	91.82715185791389
pos	strict	30	21.558232267391112	20.28871837230117	5.141323251464795	78.4417677326089
