group	mode	n_sample	mean_classified_pct	sd_classified_pct	mean_unclassified_pct	sd_unclassified_pct	mean_total_reads	sd_total_reads
ctl	relaxed	8	6.841992307243468	1.4599962890586249	93.15800769275653	1.4599962890586204	11289140	1209616.3315241737
ctl	strict	8	7.324128354645356	2.745433696438126	92.67587164535465	2.745433696438123	2560165.75	441616.72889339237
cvd	relaxed	8	6.069166236184116	1.2428502341715915	93.93083376381588	1.2428502341715895	12874030.75	3333977.945219698
cvd	strict	8	8.056938014862071	1.3724682369601318	91.94306198513793	1.3724682369601326	2985914.625	1062363.492392443
